company_name,country,input_full_address,firm_id,input_industry
The Tesalia Springs Company S.A.,EC,,2315762,
El Tecal C.A. Elteca,EC,,2404933,
Cerveceria Nacional Cn S.A.,EC,,2405019,
Sociedad Agricola e Industrial San Carlos S.A.,EC,,2443138,
Union De Bananeros Ecuatorianos Sa Ubesa,EC,,2443171,
La Campina Forestal (Strongforest) S.A.,EC,,2606802,
NabuMinds OU,EE,,13268355,
MCC Group Aktsiaselts,EE,,9392663,
Aktsiaselts Hansa Candle,EE,,2344694,
aktsiaselts IEG,EE,,9392651,
Aktsiaselts Laatsa Kalatoostus,EE,,8391321,
AS Kawe,EE,,8397916,
P. DUSSMANN EESTI Osauhing,EE,,8420839,
AKTSIASELTS VENNAD-DAHL,EE,,2344380,
OU Bestair,EE,,3570468,
PL Trans aktsiaselts,EE,,8390838,
VELES TRADE OU,EE,,14630675,
JMV Motors OU,EE,,8397470,
OU Figuurid Invest,EE,,9392652,
AllePal OU,EE,,8389938,
"Euro - Asfalt Drustvo Za Proizvodnju, Gradjevinarstvo, Trgovinu, Ugostiteljstvo I Usluge d.o.o. Sarajevo",HR,,12949806,
Markos Food d.o.o.,HR,,14041210,
Pab Akrapovic d.o.o.,HR,,8555811,
Hamburger Recycling Croatia d.o.o.,HR,,13779214,
Infigo Is d.o.o.,HR,,8555225,
Autokuca Dojkic d.o.o.,HR,,9033174,
Premium d.o.o.,HR,,8547776,
Ferie Home d.o.o.,HR,,14800562,
Kristy d.o.o.,HR,,8561291,
Kroko Proizvodnja I Razvoj d.o.o.,HR,,4961744,
Veterinarska Ambulanta Martes d.o.o.,HR,,9930654,
Vjetroelektrana Bruvno d.o.o.,HR,,17007664,
Adrihub d.o.o.,HR,,21619412,
a.hartrodt (hungary) Kft.,HU,,2421079,
Piller Nonprofit Kft,HU,,2593696,
JELD-WEN Magyarorszag Kft.,HU,,2417604,
FEHERVILL-AM Kft.,HU,,2599833,
PATIKA CONTACT Kft.,HU,,3410307,
Autoneum Magyarorszag Kft.,HU,,14089281,
Burkle Hungary Kft.,HU,,13167701,
Progress Promotion Kft.,HU,,2420321,
GROVI Kft.,HU,,2417171,
CTDI Budapest Kft.,HU,,3206182,
FOLDESI RAKOCZI Mezogazdasagi Kft.,HU,,2418912,
Kumyang Electric Hungary Kft.,HU,,14769370,
JoHazi Tojas Kft.,HU,,8906235,
METKON DS Ipari Kereskedelmi es Szolgaltato Korlatolt Felelossegu Tarsasag felszamolas alatt,HU,,2600221,
SPECUAL Kereskedelmi Korlatolt Felelossegu Tarsasag felszamolas alatt,HU,,3209350,
X SYSTEM Zrt.,HU,,2418215,
SERCO Zrt.,HU,,14775526,
RWi Zrt.,HU,,2416351,
Pt Astra International Tbk,ID,,1610164,
Pt. Pertamina Hulu Energi,ID,,7309667,
Pt Bank Rakyat Indonesia (Persero) Tbk,ID,,1610275,
Pt Telkom Indonesia (Persero) Tbk,ID,,1612134,
Pt United Tractors Tbk,ID,,1612246,
Pt Sumber Alfaria Trijaya Tbk,ID,,2436711,
Pt Indofood Sukses Makmur Tbk,ID,,1610984,
Pt Bank Central Asia Tbk,ID,,1610249,
Pt Gudang Garam Tbk,ID,,1610822,
Pt. Muara Bukit Billiton,ID,,14798921,
Pt. Alamtri Resources Indonesia Tbk.,ID,,2405579,
Pt Sinar Mas Agro Resources & Technology Tbk,ID,,1611992,
Pt. Telkom Indonesia (Persero) Tbk,ID,,16992687,
Pt Indofood Cbp Sukses Makmur Tbk,ID,,3049941,
Pt Aneka Tambang Tbk,ID,,1610105,
PT Prima Vijaya Indah Tour,ID,,7317880,
Pt Kemagi Multi Gemilang,ID,,22176746,
PT Dragon Forever,ID,,14648808,
PT Swadharma Kerry Satya,ID,,13397376,
PT Kim Seah Shipyard Indonesia,ID,,9299461,
PT Yang Mandiri Utama Sukses,ID,,7299695,
PT Ongpin Jaya Indonesia,ID,,16486778,
PT Megah Medika Pharma,ID,,16450584,
PT Putra Lika Perkasa,ID,,16484938,
PT Tirta Fresindo Jaya,ID,,7305923,
PT Patec Presisi Engineering,ID,,7299408,
Pt. Putra Mandiri Jembar Tbk,ID,,17008656,
Pt. Schlumberger Bhakti Nusantara,ID,,14806536,
Pt. Air Minum Intan Banjar,ID,,17034199,
Pt. Venture Electronics Indonesia,ID,,21619995,
PT Gunung Salak Sukabumi,ID,,12843912,
PT Rubber Duck Snack Industry,ID,,16448969,
Pt Asuransi Kerugian Jasa Raharja,ID,,7314213,
PT Ambico,ID,,9300445,
PT So Good Food,ID,,3777087,
PT Tropik Energi Pandan,ID,,7310487,
PT Sam Sam Jaya Garments,ID,,7291800,
PT Buana Baja Sukses,ID,,12890102,
PT Santosa Agrindo Lestari,ID,,16448738,
PT Prima Jabar Steel,ID,,7291693,
Reliance Retail Ventures Limited,IN,,3308235,
Reliance Retail Limited,IN,,2651035,
Bharti Enterprises (Holding) Private Limited,IN,,3912386,
Bharti Telecom Limited,IN,,2444833,
Nayara Energy Limited,IN,,1622927,
Jio Platforms Limited,IN,,11106043,
Maharashtra State Electricity Distribution Company Limited,IN,,3749762,
Reliance Jio Infocomm Limited,IN,,3925517,
Samsung India Electronics Private Limited,IN,,2390384,
U. P. Power Corporation Limited,IN,,3925918,
Tamil Nadu Power Distribution Corporation Limited,IN,,6458751,
Hpcl-Mittal Energy Limited,IN,,2616613,
Gujarat Urja Vikas Nigam Limited,IN,,3749734,
Foxconn Hon Hai Technology India Mega Development Private Limited,IN,,6808727,
Flipkart India Private Limited,IN,,4079693,
Apple India Private Limited,IN,,3940542,
Accenture Solutions Private Limited,IN,,3925709,
Malabar Gold And Diamonds Limited,IN,,22297393,
Tata Electronics Private Limited,IN,,16395927,
M.P. Power Management Company Limited,IN,,3926971,
Rama Steel Tubes Ltd.,IN,,1628282,
Gayatri Sugars Ltd.,IN,,1623350,
Nova Iron & Steel Ltd.,IN,,1627142,
IndiaMART InterMESH Ltd.,IN,,3221855,
V2 Retail Ltd.,IN,,2334571,
IST Ltd.,IN,,1624303,
Enkei Wheels India Ltd.,IN,,3050694,
Al-Gyas Exports Private Limited,IN,,4075456,
Snj Distillers Private Limited,IN,,3521200,
Ampl Resources Private Limited,IN,,3304112,
Space Textiles Private Limited,IN,,4046599,
R.V.R. Projects Private Limited,IN,,9730532,
Haldia Energy Limited,IN,,3302526,
Kals Distilleries Private Limited,IN,,3923336,
Leayan Global Private Limited,IN,,3546275,
Vensar Constructions Company Limited,IN,,3874697,
Shree Durga Syntex Private Limited,IN,,3931834,
Saj Industries Private Limited,IN,,11106189,
Sud Chemie India Private Limited,IN,,4079548,
Kutch Chemical Industries Limited,IN,,2435009,
Vaibhav Edibles Private Limited,IN,,3876061,
